Name,Profession,Country,Following
Amr Diab,Singer,Egypt,30.26 Million
Nancy Ajram,Singer,Lebanon,48.14 Million
Elissa,Singer,Lebanon,43.48 Million
Kadim Al Shahir,Singer,Iraq,19.69 Million
Najwa Karam,Singer,Lebanon,26.58 Million
Adel Emam,Actor,Egypt,16.44 Million
Assala Nasri,Singer,Syria,22.61 Million
Ahlam Al Shamsi,Singer,U.A.E,21.5 Million
Ragheb Alama,Singer,Lebanon,13.05 Million
Georges Wassouf,Singer,Syria,9.61 Million
Ahmed Helmy,Actor,Egypt,19.55 Million
Tamer Hosny,Singer,Egypt,29.8 Million
Sherine Abdel-Wahab,Singer,Egypt,22.52 Million
Mohamed Hamaki,Singer,Egypt,19.8 Million
Cyrine Abdelnour,Singer,Lebanon,16.24 Million
Wael Jassar,Singer,Lebanon,15.45 Million
Ahmed El Sakka,Actor,Egypt,14.96 Million
Hussain Al Jassmi,Singer,U.A.E,14.31 Million
Fayrouz,Singer,Lebanon,8.37 Million
Saber Al Rebai,Singer,Tunisia,7.89 Million
Amal Maher,Singer,Egypt,13.13 Million
Myriam Fares,Singer,Lebanon,23.14 Million
Samira Said,Singer,Morocco,8.3 Million
Carole Samaha,Singer,Lebanon,13.68 Million
Hassan El Shafei,Composer,Egypt,13.04 Million
Mohamed Mounir,Singer,Egypt,8.09 Million
Hend Sabry,Actor,Tunisia,8.73 Million
Donia Samir Ghanem,Actor,Egypt,10.32 Million
Mohammed Assaf,Singer,Palestine,15.83 Million
Mohamed Sobhy,Actor,Egypt,7.15 Million
Nawal Al Zoghbi,Singer,Lebanon,12.98 Million
Yara,Singer,Lebanon,16.39 Million
Haifa Wehbe,Singer,Lebanon,21.96 Million
Maher Zain,Singer,Lebanon,31.8 Million
Ramez Galal,Actor/Presenter,Egypt,7.71 Million
Diana Haddad,Singer,Lebanon,10.57 Million
Karim Abdel Aziz,Actor,Egypt,5.9 Million
Assi El Hallani,Singer,Lebanon,8.19 Million
Cheb Khaled,Singer,Algeria,5.39 Million
Samo Zaen,Singer,Syria,11.57 Million
Hamza Namira,Singer,Egypt,11.5 Million
Ghada Abdel Razek,Actor,Egypt,10.22 Million
Mohamed Ramadan,Actor,Egypt,8.29 Million
Yasmin Abdulaziz,Actor,Egypt,11.24 Million
Dorra Zarrouk,Actor,Tunisia,9.35 Million
Maya Diab,Singer,Lebanon,10.46 Million
Mona Zaki,Actor,Egypt,4.93 Million
Mustafa Agha,Presenter,Syria,5.64 Million
Hany Shaker,Singer,Egypt,7.53 Million
Moustafa shaban,Actor,Egypt,9.98 Million
Majida El Roumi,Singer,Lebanon,3.92 Million
Latifa,Singer,Tunisia,4.88 Million
Mohamed Henedy,Actor,Egypt,7.22 Million
Tamer Ashour,Singer,Egypt,9.82 Million
Lojain Omran,Presenter,Saudi Arabia,6.58 Million
Ahmed Gamal,Singer,Egypt,10.55 Million
Ramy Ayach,Singer,Lebanon,5.27 Million
Waleed Al Farraj,Presenter,Saudi Arabia,6.23 Million
Mohamed Emam,Actor,Egypt,8.82 Million
Ola Al Fares,Presenter,Jordan,8.31 Million
Balqees,Singer,U.A.E/ Yemen,10.06 Million
Hassan El Raddad,Actor,Egypt,8.4 Million
Hakim,Singer,Egypt,4.37 Million
Angham,Singer,Egypt,3.31 Million
Ramy Sabry,Singer,Egypt,8.35 Million
Carmen Soliman,Singer,Egypt,6.12 Million
Mai Ezz Eldin,Actor,Egypt,5 Million
Khaled El Sawy,Actor,Egypt,3.52 Million
Amr Waked,Actor,Egypt,6.85 Million
Asma Lmnawar,Singer,Morocco,7.3 Million
Mais Hamdan,Actor,Jordan,7.79 Million
Marwan Khoury,Singer,Lebanon,3.34 Million
Nicole Saba,Singer,Lebanon,3.3 Million
Khaled Elnabawy,Actor,Egypt,5.28 Million
Ayten Amer,Actor,Egypt,7.09 Million
Neshan,Presenter,Lebanon,3.31 Million
Nesreen Tafesh,Actor,Syria,5.87 Million
Sandy,Singer,Egypt,7.08 Million
Ahmed Fahmi,Actor,Egypt,5.43 Million
Asser Yassin,Actor,Egypt,4.67 Million
Kinda Alloush,Actor,Syria,7.07 Million
Kosai Khauli,Actor,Syria,3.32 Million
Madeleine Matar,Singer,Lebanon,5.37 Million
Battal Algoos,Sports presenter,Saudi Arabia,5.8 Million
Nabil El Halafawy,Actor,Egypt,3.81 Million
Abd El Fattah Grini,Singer,Morocco,5.54 Million
Sameh Hussein,Actor,Egypt,5.18 Million
Wafaa El Kilany,Presenter,Egypt,3 Million
Shatha Hassoun,Singer,Morocco,5.44 Million
Yosra El Lozy,Actor,Egypt,5.29 Million
Khalid Al-Shenaif,Sports presenter,Saudi Arabia,4.74 Million
Raya Abirached,Presenter,Lebanon,5.51 Million
Heba Magdi,Actor,Egypt,4.5 Million
Joseph Attieh,Singer,Lebanon,3.48 Million
Ali Rabee,Actor,Egypt,5.43 Million
Nadine Nassib Njeim,Actor,Lebanon,4.99 Million
Bassem Yakhour,Actor,Syria,3.89 Million
Faris Awad,Sports Commntator,U.A.E,4.88 Million
Amr Youssef,Actor,Egypt,4.51 Million
Turki Aldakhil,Presenter,Saudi Arabia,4.07 Million
